date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
2001-10-27,,Oklahoma,W (20-10),22,50,44.0,234,1,29,105,3.6,0,79,339,4.3,14,6,1,21,6,45,0,2,2
2001-11-03,@,Kansas,W (51-7),8,17,47.1,79,1,42,124,3.0,0,59,203,3.4,3,7,1,11,3,28,1,2,3
2001-11-10,,Kansas State,W (31-21),4,18,22.2,37,1,44,239,5.4,2,62,276,4.5,2,12,0,14,7,32,0,3,3
2001-11-23,@,Colorado,L (36-62),9,16,56.3,202,1,52,380,7.3,8,68,582,8.6,7,15,3,25,9,75,0,0,0
2002-01-03,N,Miami (FL)*,L (14-37),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-24,,Arizona State,W (48-10),17,41,41.5,175,0,30,83,2.8,1,71,258,3.6,9,7,1,17,5,63,0,1,1
2002-08-31,,Troy,W (31-16),11,29,37.9,192,0,41,155,3.8,2,70,347,5.0,5,11,0,16,4,27,1,2,3
2002-09-07,,Utah State,W (44-13),19,44,43.2,251,1,30,70,2.3,0,74,321,4.3,12,7,0,19,10,71,0,3,3
2002-09-14,@,Penn State,L (7-40),19,31,61.3,259,0,43,217,5.0,4,74,476,6.4,11,12,1,24,3,20,0,0,0
2002-09-28,@,Iowa State,L (14-36),19,32,59.4,220,1,52,192,3.7,3,84,412,4.9,8,12,3,23,4,20,1,2,3
2002-10-05,,McNeese State,W (38-14),15,36,41.7,234,1,43,121,2.8,1,79,355,4.5,11,7,3,21,3,15,0,0,0
2002-10-12,,Missouri,W (24-13),14,29,48.3,123,0,30,97,3.2,1,59,220,3.7,6,1,4,11,7,44,0,0,0
2002-10-19,@,Oklahoma State,L (21-24),17,27,63.0,192,2,42,195,4.6,1,69,387,5.6,13,9,0,22,5,30,1,0,1
2002-10-26,@,Texas A&M,W (38-31),20,37,54.1,269,2,24,53,2.2,0,61,322,5.3,9,5,1,15,6,38,0,2,2
2002-11-02,,Texas,L (24-27),29,47,61.7,419,2,36,79,2.2,1,83,498,6.0,20,6,1,27,12,91,0,1,1
2002-11-09,,Kansas,W (45-7),10,31,32.3,153,1,36,71,2.0,0,67,224,3.3,6,5,1,12,6,54,1,2,3
