date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers,outcome,points_for,points_against
2022-09-10,home,Georgia Southern,L (42-45),23,34,67.6,318,1,47,257,5.5,5,81,575,7.1,16,17,0,33,10,77,0,0,0,L,42,45
2022-09-17,home,Oklahoma,L (14-49),21,31,67.7,164,1,45,163,3.6,1,76,327,4.3,7,11,3,21,5,40,1,1,2,L,14,49
2022-10-01,home,Indiana,W (35-21),18,27,66.7,270,2,51,115,2.3,2,78,385,4.9,12,7,3,22,12,111,1,1,2,W,35,21
2022-10-07,away,Rutgers,W (14-13),24,37,64.9,232,2,29,72,2.5,0,66,304,4.6,11,4,3,18,9,67,0,2,2,W,14,13
2022-10-15,away,Purdue,L (37-43),16,29,55.2,354,2,23,122,5.3,2,52,476,9.2,9,5,1,15,4,40,0,2,2,L,37,43
2022-10-29,home,Illinois,L (9-26),11,24,45.8,188,1,25,60,2.4,0,49,248,5.1,5,3,1,9,3,30,1,3,4,L,9,26
2022-11-05,home,Minnesota,L (13-20),11,25,44.0,121,0,35,146,4.2,1,60,267,4.5,5,8,0,13,2,10,0,1,1,L,13,20
2022-11-12,away,Michigan,L (3-34),10,20,50.0,71,0,29,75,2.6,0,49,146,3.0,4,3,1,8,4,30,0,0,0,L,3,34
2022-11-19,home,Wisconsin,L (14-15),12,20,60.0,106,2,29,65,2.2,0,49,171,3.5,6,4,2,12,2,15,0,0,0,L,14,15
2022-11-25,away,Iowa,W (24-17),20,30,66.7,278,3,35,51,1.5,0,65,329,5.1,11,3,3,17,6,40,1,0,1,W,24,17
